,after_detokenized
381,ooh ternyata dia sengaja membuat proyek ikn untuk mengelabui masyarakat khususnya masyarakat dki jakarta agar tanah jakarta bisa diserahkan ke oligarki aguan ayo masyarakat betawi rebut kembali tanahmu dan jangan pernah serahkan ke mereka
382,bukan ikn
383,hanya pepesan kosong aguan ungkap klaim ratusan investor di ikn
384,kurator ikn
385,kenalan kami juga mengeluhkan manggarai dia bilang mendingan pindah ke sekitar ikn deh drpd tersiksa di kereta n manggarai capeee
386,ikn nusantara
387,ikn oh ikn
388,malah jadi ikn
389,pantesan ikn gak laku
390,dukung ikn nusantara
391,dukung ikn nusantara
392,dukung ikn nusantara
393,sprti istana garuda ikn
394,ikn ambisi tolol srmeorang idiot berijazah palsu fufufafamakzulkan fufufafamakzulkan
395,ikn sudah habiskan anggaran t ayo kpkri periksa jokowi
396,ikn jadi saksinya
397,mau muntah cerita soal ikn ini ketololan yg membumi seakan prestasi yg menggalaxy
398,bau ikn proyek gak jalan
399,minta maaf di atas gedung ikn
400,sukseskan pembangunan ikn nusantara
401,jadikan taylor swift duta ikn
402,eras tour mau digelar di ikn
403,investasi ikn pepesan kosong kpk harus periksa jokowi
404,ikn apa kabar jarang banget dengar kabarnya masih sehat kan
405,lanjut ikn buukkkkkkk sang mentri keuangan terbaik dunia wkwkwkk dunia demit
406,ikn lanjutlanjutlanjut
407,aguan bocorkan kebohongan jokowi tak ada yang tertarik investasi di ikn
408,kalau tidak ada ikn sudah digunduli dan dieksploitasi mas jadi bakalan ruang terbuka hijau
409,fact check pandangan positif bos asg aguan tentang ikn berikut ss pg full screen record beritannya pg pernyataan jokowi investor berebut di investasi ikn nusantara pg full threadnya ada dibawah ini
410,cecil sekarang lagi review ikn yang pertama direview adalah debu dan panas
411,kok ikn tidak menarik ya bagi investasi asing dan lokal yuk kita selamatkan muka mantan presiden kita jokowi utk mempromosikan ikn yg sdh jadi ibukota negara kita biar pada datang para pedagang pecel lele l soto bakso bubur ayam warteg dll
412,uang ikn noh pake buat pendidikan irigasi kesehatan
413,stravenues makanya ikn itu awal mula authoritarianism orang biasa ga paham kalo ikn itu gabisa di demo terutama org yg ga paham demokrasi itu harus check and balance nganggep pemerintah penolong justru ikn itu paling bahaya buat demokrasi begitu akses di tutup gabisa ngapa ngapain
414,klo keak gini bentukan ikn masih mending
415,taylor ikn
416,wkwk ikn
417,penampakan ikn guys
418,kisah terbalik dari negeri nya ikn
419,bjir eras tour di ikn
420,ikn ulah siapa cc jokowi
421,ya jelas babak belur ikn proyek prestise semata ga ada kota satelit di sekitarnya koq bikin ibukota
422,eras tour di ikn wkwkwkkkwk
423,proyek pik tukar guling aguan mengongkosi proyek ikn mudarat proyek strategis nasional pembangunan dengan model proyek strategis nasional menjadi sumber konflik dan pelanggaran ham dipaksakan menjadi psn pik tropical coastland ditengarai merupakan imbal jasa pemerintah
424,kalo td ikn ini manusia silver kah
425,manusia satu ini harus diadili asemka ikn dan entah apalagi berderet kebohongan publik yang dia lakukan dengan sadar dan terancana
426,tanggapi pernyataan aguan rocky gerung sebut proyek ikn hanya omong kosong besar
427,berapa kira kira saldo si menteri pupr atas semua proyek mrt lrt kcic amp ikn
428,ikn itu kamu ya
429,saya kira jalan ke ikn prabowo puspentni
430,taylorswiftids oh ternyata ikn tuh buat tempat konser taylor di masa depan
431,pose ikn
432,wkwk welcome to ikn
433,beneran ikn anjir
434,ya allah ikn
435,hbd gapura ikn taylorswift
436,proyek ikn hanya ambisi jokowi dorong kpk untuk periksa mulyono bin jokowi kpk harus tegas periksa mulyono terkait investasi ibukota nusantara fufufafamakzulkan fufufafamakzulkan
437,ikn apa kabar ya
438,prabowo usulkan pilkada dikembalikan ke dprd untuk menghemat biaya krn biaya pilkada bs dipakai utk kepentingan rakyat wah klo begini caranya sepertinya orang dpr yg akan kaya raya pak kalau berfikir efisien ikn itu dah hbs brp trilyun pak apa manfaatnya buat rakyat
439,emg bener keuangan ikn se mandeg itu
440,wkwkwkwkwkkw ikn
441,menikmati ikn ehhh ikan
442,usut dan audit ikn kebohongan besar joko widodo fufufafamakzulkan fufufafamakzulkan
443,anj ikn
444,lelah mungkin dapat proyek selat sunda gagal ditukar dengan proyek reklamasi distop aniesbaswedan diganti dengan proyek ikn calon mangkrak
445,dukung ikn nusantara
446,dukung ikn nusantara
447,ikn apa kabar ya kapan mau dipakai dan pindah kesana
448,singkat padat ikn
449,ayo mba tay konser di ikn
450,bwat warga ikn yg sakit bisa berobat ke rs emang sudah siap sudah tapi belum
451,wkwkwkw ikn anjirr
452,istana ikn
453,ikn taylor version wkwkwkwk anj gue ngakak bgt
454,anjir mirip ikn
455,rombongan pelajar smk asal samarinda yang sedang menuju ikn untuk study tour alami kecelakaan di jalan poros sepakusamboja garudatv laporan viral kecelakaanbus infosamarinda
456,pertanyaanya kenapa aguan tibatiba bukabukaan mungkin aguan speak up sekarang karena takut nanti disuruh gotong royong lagi buat ikn kedepannya ya
457,hahahaha ajg jam baru ngerti jokes ikn ini
458,singkat padat ikn
459,eh gmn kabar pembangunan ikn lama gak denger progresnya wqwq
460,prabowo akan berkantor di ikn pada berita selengkapnya klik di sini
461,yuk buzzer ikn kerja lebih keras
462,wkwkwk taylor swift jd burung ikn
463,istana garufa ikn
464,malah jadi ikn
465,ikn kwwkwkwk taii
466,jadi bentuk istana ikn sebenarnya foreshadowing taylor swift toh
467,seperti banyak berbagai bangunangedung di ikn yang sedang di bangun sejauh ini
468,kaya ikn ga sii
469,pantes ga asing ternyata kaya ikn
470,istana ikn
471,anjay ikn
472,wowkowkwkwk ikn
473,ikn wowkwkwk
474,mengawali kekuasaan dengan mobil esemka ghoib mengakhiri kekuasaan dengan investor ikn ghoib dialah mulyono pendukungnya juga ghoib
475,ikn ibu kota nusantaylor
476,coba mereka kirim ke ikn dekat istana pula
477,budibukanintel ikn masuk ke radius rudal china btw
478,ya allah bisa bisanya mamah taylor cosplei jdi burung ikn
479,prabowo akan berkantor di ikn pada berita selengkapnya klik di sini
480,bohongnya jokowi terakhir paska menjabat presiden akan sering ke ikn nyatanya yg ada bolak balik ke jkt
481,institusi ini dapat anggaran t setahun duit segitu seandainya dialihkan semua ke ikn hanya dalan dua tahun langsung bisa bangun setara singapura
482,berencana ngantor di ikn pada prabowo lanjutkan pr jokowi
483,dalam upaya mendukung pembangunan ikn direktorat kepolisian peraitan dan udara polda kaltim gencar melaksanakan patroli perairan
484,ini dia yg akhir ini selalu lewat di pikiran gue aguan dulu mana pernah mau muncul tapi akhir ini malah sering muncul paling gue engeh waktu upacara kemerdekaan di ikn lumayan kaget karena aguan dateng jauh ke sana ngapainnn
485,menteri pekerjaan umum pu doddy hanggodo mengungkapkan pembangunan tanggul laut raksasa atau giant sea dan ibukota nusantara masuk dalam program quick wins kementerian pu
486,setelah banyak berinteraksi dengan orang lokal dan perantauan yg tinggal di daerah balikpapan serta meninjau lokasi sekitar dari hal tersebut saya belajar dan mencoba memahami bahwa banyak orang berharap dengan adanya ikn balikpapan dan sekitarnya bisa maju
487,baru ngerti maksud orang pada komen ikn
488,ampe skrg masih ngetawain jokes ikn taylors version mirip lagi
489,gara gara ikn anjinggg
490,toshi mending kamu resign soalnya proyek ikn mulai mangkrak
491,pertanda taylor konser di ikn
492,ikn menyalaasn segera dipindahkan ke ibu kota baru pembangunan ikn s lewat youtube
493,vietnam aja udh produksi mobil listrik woyy meanwhile ni negara masih bingung ikn lanjut apa mangkrak
494,kapan sih yg di ikn bisa dipake masyarakat capek dijalan kalo lewat sepinggan terus
495,berencana ngantor di ikn pada prabowo lanjutkan pr jokowi
496,tadi sempet baca au ushioi putus gara gara proyek ikn belum slesai bacanya belum ninggalin jejak juga tapi keburu close app karna bales chat wa ada yg baca juga ga yamau baca lagi
497,toshi ini sedih bgt km tumbal proyek ikn kah
498,siapsiap pns pindah ke ikn setelah lebaran
499,presiden ri prabowo subianto secara resmi telah mencabut status dki jakarta menjadi dkj pencabutan status dki jakarta menjadi dkj dibuktikan usai diterbitkannya keppres mengenai pemindahan ibu kota rakyatdesakcopotkapolri tangkapjokowifufufafa
500,persis seperti ikn kita semua dikibulin
501,gimana nasib ikn dprri
502,lah kalo analoginya kayak gt invesor ikn juga judi dong
503,cnnindonesia yaudah si rk sdh pny jabatan juga kurator ikn u wil dkj pakai kalimat beliau feb lalu kalah mah kalah aja
504,aguan panik proyek pik terancam batal akhirnya aguan buka borok ikn dan jokowi rakyatdesakcopotkapolri rakyatdesakcopotkapolri
505,kepikiran dari tadi malam ikn ikn
506,diraism proyek mangkrak putus pula beneran tumbal ikn
507,ikn biangnya
508,investor besar pemilik burj salah satuh perush di dubai berminat ingvestasi di pembangunan ikn
509,selamat sore dari ikn
510,spill ikn
511,tolak ikn pik
512,kata rg ikn omong kosong
513,periksa mulyono terkait ikn
514,investor ikn pepesan kosong kata aguan
515,aguan bicara partisipasinya di ikn hanya untuk menjaga wajah mulyono investor yang akan menanamkan modalnya di ikn hanyalah pepesan kosong rakyatdesakcopotkapolri rakyatdesakcopotkapolri
516,singkat padat ikn
517,jokowi harus dilaporkan karena menyebarkan hoax korea investor jepang investor singapura investor faktanya ratusan investor masuk ikn itu pepesan kosong aguan desember
518,berani tidak kpk periksa jokowi kasus ikn
519,kecelakaan lalulintas rombongan bus smk farmasi samarinda menuju ikn
520,indahnya ikn
521,pembangunan ikn dorong peluang kerja di sektor pariwisata
522,my wild thoughts saham konglo sengaja di mark up gilagilaan guna cari duit tambahan sukseskan proyek ikn makanya tempo hari prabowo tried to warn us rakyat kecil main saham pasti kalah sm bandar because he knew something
523,video lama pengingat saja ketika ikn benar benar dijadikan ibukota gak aman kemanamana pertanyaan nya apakah negri ini mau dijual clara shinta aguan lousiana xi jinping iranian jokowidodopenipu
524,ikn kota cerdas dunia
525,selamat hari keputeraan duli yang maha mulia sultan selangor ke daulat tuanku institutkrafnegara jommasukikn taatsetia
526,sampah termahal di dunia saat ini adalah ikn seluruhnya ditanggung rakyat sampah ini dibangun berdasarkan kebohongan berjilidjilid semoga prabowo tak akan menambah jilid kebohongan proyek mimpi ini untuk menyelamatkan muka mentor politiknya
527,sudah defisit trilliun dan akan semakin tinggi jika tidak di rem dihentikan atau dibatalkan semua pemborosan dan project mercusuar termasuk kelanjutan ikn dan project makan siang gratis dan pemotongan anggatan semua kementrian dllpak prabowo tolong diperhatikan
528,proyek ikn mulai dikuliti berisik terus ayo tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
529,konsultan hukum psn pik muannas alaidid menegaskan amp menepis media tempo karena telah memanipulasi wawancara dengan aguan menciptakan narasi negatif terhadap pik dan ikn ia menilai hal ini sebagai upaya dari kelompok tertentu tangkapsaiddidu
530,bilang ke rakyat pak basuki halo rakyat ikn minta tambahan dana trilyun kalian rakyat baik saja ya ini ikn sdh digadaikan th jadi sbg mentri saya memberi servis terutama utk orang asing di ikn itu tugas saya ngelu pora jaaal
531,ikn coret aja mas gus
532,otw dpt kursi menteri atau minimal bantubantu di ikn lah biar kayak jakarta dalam bln
533,bisa dijadikan kuli gratis pembangunan ikn
534,apa kabar ikn apa kabar yang katanya kemarin mau investasi dari negera mana berapa investasinya hoax penipuan kalian tetap buta dan ga mau tau dengan ini hoax dan penipuan kasihan
535,alhmdulillah kabar baik di hari jumat pagi obat kangen pd adekku roy hihi katanya dia lagi di ikn kerja bakti terimakasih kang maman yg baik hati
536,wts lightstick dpr dream perfect regime unsealed official limited edition ada damage karena pengiriman ke indo k boleh banget nego bisa oren pengiriman jogja dpr dreamperfectregime dreamlight dprian christianyu
537,lah tp kata bocor halus aguan marah soal ikn ini pdhl dpt ibu kota sendiri bener ga itu tempo jadinya
538,terlepas mangkrak atau hentena ikn eta lain urusan pekerja kontruksi kami mah ngan sa ukur ngajalani peran hidup nu di bere kesempatan menganal kalimantan
539,ketua dpr puan maharanimenyatakan siap pindah ke ikn nanti mendukung dan ikut keputusan pemerintah
540,ikn versi elit ini mah
541,sekelas pembisnis aguan z d paksa menginvest kan duit nya d ikn oleh jokowi sking tak punya nilai jual nya ikn seehingga aguan pun merasa d paksa
542,prabowo akan berkantor di ikn pada sejumlah infrastruktur dasar siap digunakan
543,se power itu tp kok mau aja bangun ikn lebih kl pny power berani dong nolak pak jkw
544,siapa suruh bangun ikn
545,sama spti esemka tpi ikn ini menipu dgn biaya trilyunan dan patut diduga si jokowi dan kroninya melakukan korupsi besaran
546,konten tiktok masjid negara di ikn kapasitasnya bakal sampai ribu jemaah focus masjidnegara news text
547,itulaahh kenapaa dari awal banyak yang nentang ikn karna urgensi nyaa nggak ada lebih banyak masalah yang lainnya yang bisa di selesaiin pake duit t ituuuuu
548,kalau judul artikel ini benar sangat memalukan dan entah apa motivasi jokowi memaksakan naga investasi ikn
549,mngkin yg dimaksud mnjaga wajah presiden krna jokowi sdh menipu rakyat dgn ucapan dia sndiri banyak investor asing yg trtarik pd ikn nyatanya ga ada pun investor asing yg trtarik akhirnya mengandalkan investor dlm negri sbagai pngusaha udh pasti cri untung dpt lah psn pik
550,kak ke kalimantan gamau ada ikn lho
551,ikn hny pepesan kosong yg di buat jokowi
552,pelatihtdur dana ikn sudah di stop pak bas
553,belum lama ketemu cewek jepang kenalan kita dia ceo holding properti yg besar di jepang utk aspac yg baru pulang dari ikn utk liat lokasi investasi singkat cerita kita tanyain soal ikn kita ga jadi investasi prosedur ga jelas fasilitas minim lokasi jauh katanya
554,ikn belom balik modal jg yassalam
555,ya gk ikn gk makan
556,jika penguasa mendengarkan rakyat utk ga bangun ikn lalu olah dana ratusan triliun itu bangun subsidi rumah pengadaan pangan pemberian modal kerja program pelunasan rakyat yg kena jeratan pinjol brp juta rakyat selamat dari lingkaran kemiskinan akut nasi sdh jadi bubur
557,pemindahan asn ke ikn butuh kepastian
558,ikn untuk mengelabui masyarakat supaya pik utara jakarta tetap lancar berjalan tahukah bahwa menteng nya jakarta sudah pindah ke pantai utara jawa
559,bisa jadi ironis sih tahunya ikn jadi habitat orang utan dan satwa lain
560,ikn memang cuma alat pencitraan mulyono dan rakyat lah yang menanggung akibatnya sebab uang negara dipakai untuk bangun ikn
561,dgn wajah lugu ndeso sebenarnya sadis dan culas sugianto kusuma alias aguan bicara soal investasi di ikn proyek pik sembilan naga soal investasi ikn kami mesti menjaga wajah presiden katanya para penjahat tdk akan pernah membangun negara mereka hanya memperkaya diri
562,media harusnya memberikan berita dgn fakta jgn ada upaya untk memanipulasi yg dilakukan media sekelas tempo terhadap pernyataan aguan terkait psn di pik amp pembangunan ikn yg mengadu domba antara mantan presiden jokowi amp aguan hati ada upaya adu domba ya all tangkapsaiddidu
563,investasi ikn pepesan kosong kpk harus periksa jokowi andi yusran bersuara lantang
564,joko widodo pembual dan penipu besar fufufafa penipu ijazah dan pencitraan palsu aguan tak ada investor datang ke ikn investir datang cuma bualan jokowi belaka kesimpulan tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
565,presiden prabowo subianto dan kabinet diharapkan mulai berkantor di ibu kota nusantara ikn pada tahun otorita ikn telah menyiapkan ekosistem untuk eksekutif dan sedang mempersiapkan fasilitas untuk legislatif serta yudikatif ikn ibukotabaru prabowosubianto
566,sungguh aneh sebagian orang kita ini sudah berkalikali dibahongi sama mulyono termasuk masalah ikn ini masih aja banyak yg menganggap mulyono hebat padahal dia adalah orang munafik ciri orang orang munafik bila berkata bohong
567,dalam upaya mendukung pembangunan ikn direktorat kepolisian peraitan dan udara polda kaltim gencar melaksanakan patroli perairan
568,dgn tatakelola aglomerasi dkj pik ini bkl terkoneksi dg mudah ke jkt apalagi kalo lrt udah masuk jarak ke bandara cuma mnit pik bakal tambah gueeede sementara ikn bkl terseok krn masalah tanah air dan manusia
569,konsorsium besar turun tangan untuk menyelamatkan proyek ikn sekaligus wajah jokowi kuatbaca kuatbacacom konsorsium ikn ibukota nusantara kalimantan jokowi prabowo
570,ya salah nya mau tolak lah kala itu bukan berarti enak aja terus dpt psn brp puluh t sama aja barter ikn nggak rugi artimya kalau dpt psn malah pat gulipat untungnyaampso pasti rakyat yg rugilah no way lah hukum hukum hukum tdk boleh tebang pilih amp berlaku sama utk semua wn
571,kepala otorita ikn basukihadimulyono menyatakan asn akan mulai pindah ke ikn pada bulan april basuki menjelaskan awalnya asn direncanakan pindah ke ikn pada januari namun diundur menjadi setelah lebaran tahun depan
572,ngoceh di media tempe katanya antrian investasi di ikn itu bohong kayaknya marah judol nya diacakacak mungkin mereka jengkel lahan judolnya msh diobrak abrik nunggu si otak bocor mbahas judol
573,tahun terakhir jokowi sibuk grasa grusu bikin susah satu republik buat bangun ikn di tengah hutan triliun uang apbn dipake buat wujudkan fantasinya hasilnya morat marit potensi mangkrak ironisnya km dr monas diam aguan bangun ibukota baru
574,menpanrb sebut asn pindah ke ikn mengikuti kesiapan kementerianlembaga
575,dari awal bolakbalik jokowi mengatakan investor di ikn ngantri itu bohong semua kebohongan rupanya sudah menjadi karakter utama jokowi
576,nasib ikn ini mirip kspn mandalika waktu mau motogp pertama dikerjakan gilagilaan sirkuit dan infrastruktur pendukung mandalika demi yang mulia baginda jokowi selesai dipakai motogp langsung lambat jokowi dapat imej baik lombok dapat imej buruknya setan
577,jokowi harus ditangkap karena menyebarkan hoax korea investor jepang investor singapura investor faktanya ratusan investor masuk ikn itu pepesan kosong aguan desember tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
578,sy sdh bilangikn itu mega korupsi jokowipsn juga mega korupsi jokowisemua proyek harus segera di audit bpk dan kpk
579,proyek ikn made in jokowi uang apbn digunakan untuk ikn nyaris triliun samsek tidak ada kaitannya langsung dg keperluan rakyat jahat banget kau jokowi pendusta pengkhianat dan otoriter
580,jokowi penipu ulung menurut aguan ia dan para taipan tak bisa menolak permintaan jokowi agar menanamkan uangnya di ikn klaim pemerintah bahwa ratusan investor telah membenamkan uang di ikn hanya pepesan kosong tempo tangkapjokowifufufafa jokowidodopenipu
581,yuk jokowi bisa yuk jadi tersangka jokowidodopenipu kang bohong dari awal janji produksi mobil esemka sampai proyek mlm ikn katanya udh ratusan investor ngantri nyatanya nihil
582,ikn kebijakan presiden perseorangan tangkapjokowifufufafa tangkapjokowifufufafa
583,media yang ikut serta memecah belah dan menghalangi kemajuan bangsa dan negara sudah seharusnya di bubarkan dan diproses secara hukum tangkap penanggungjawab dan penulisnya karena ini akan menimbulkan kekacauan di tengah masyarakat psn pik amp ikn slmcinta tangkapsaiddidu
584,selamat siang buat mereka yg membangun ikn dibawah matahari yg terik dan berperang melawan rindu dg keluarga yg ditinggalkan semoga allah menjaga kaloan semua gm masrury
585,tapi kemarin ada berita pak prabowo udah teken uu ikn
586,waaah jadi penasaran anggaran ikn berapa ya
587,presiden prabowo subianto meminta kepala otorita ibu kota nusantara ikn basuki hadimuljono agar ikn sudah bisa ditempati pada tahun garudatv laporan viral
588,makanya tau investasi ikn pepesan kosong tetep manutkarena ada maunya setelah rame penolakan psn pik baru ngoceh
589,ikn pepesan kosong mulyono udah brp tuh dana habis tersia
590,rakyat indonesia yang jadi korban uang apbn dibelanjakan bukan untuk rakyat tp untuk ikn yang tidak ada kaitannya dg keperluan rakyat jahat amat
591,ikn tuh beneran ambisi satu orang yang harus dikasih makan sama satu negara alias ngerepotin
592,detikcom demi ikn makan gratis dan ngegaji buzzer
593,ppn turun gt harga barang turun gt daya beli meningkat gt roda bisnis berjalan gt ekonomi menguat gt gdp meningkat tapi negara nanti gajadi dapet tambahan t dari penerimaan pajak kan harus bayar makan siang gratis bansos ikn dan hutang trilyunhiks hiks
594,jokowi harus ditangkap karena menyebarkan hoax korea investor jepang investor singapura investor faktanya ratusan investor masuk ikn itu pepesan kosong aguan desember tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
595,kebohongan jokowi terbongkar investor yang akan menanamkan modalnya di proyek ikn hanyalah pepesan kosong akhirnya aguan bicara sendiri bahwa proyek di ikn hanya untuk metupi muka jokowi tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
596,bukannya ikn cuma diisi sama putra daerah kalimantan aja wkwkwk
597,ternyata benar pak jokowi berbohong tentang ikn
598,investor ikn hanya pepesan kosong nol besar
599,mental gawe di ikn mah kurangkurangna mandor teu kuat modal mah tiguling
600,pernah gue interview posisi hse officer buat penempatan di ikn ada lembur over time minggu ga libur dan ga diitung lembur ngehandle orang pekerja dalam proyek dan dia nawarin bayaran bersih ga lebih dari umr jakarta pas gue nego malah dia ga setuju skip banget
601,foto bersama makelar ikn si kucing tidur amp para taipan yang udah tau ditipu
602,soal investasi di ikn jokowi investor antri dari korea jepang singapura tapi kita dahulukan yang dalam negeri aguan kami mesti jaga wajah presiden aguan bongkar kebohongan jokowi
603,aguan atau sugianto kusuma buka suara soal investasi di ikn adalah omong kosong untuk menyelamatkan muka jokowi
604,orang luar aja positif banget bahkan mengharapkan itu terjadi hanya segelintir orang di sini yang kufur nikmat ikn berada satu pulau dengan malaysia borneo sarawak dan sabah dan brunei
605,kebohongan ini diduga sebagai alasan membobol apbn untuk membiayai ikn dengan alasan persiapan investor masuk
606,ikn hanya akan menyeret ekonomi negara pada kesulitan rakyat banyak
607,kabar ikn gimana yah sekarang
608,ya lahh klo gak bantu investasi ikn izin buat bangun pik bakal disusahin iykyk ytta ajah
609,ikn akan menjadi museum kebohongan jokowi dan kebodohan bangsa investasi di ikn hanya untuk selamatkan wajah mulyono jokowidodopenipu jokowidodopenipu
610,apakah ini akhir dari sebuah megaproyek yang bernama ikn
611,ikn hanya pepesan kosong jokowi
612,mana congor yg bilang ikn mangkrak
613,alimasiregar semua kebohongan dan penipuan thdp rakyat dan bangsa ini mmg luar biasa bakat njingnya ini ikn ada investor adalah bualan paling buduk ditahun ini dari joko widodo aguan investor di ikn cuma pepesan kosong tangkapjokowifufufafa tangkapjokowifufufafa jokowidodopenipu
614,bayi rewel tuh sebabnya banyak wooyyy gerah perut ga enak sakit laper lingkungan ga nyaman faktor x bukan cuma gara dia minta nenen ya bjiirrrrrr lagian emang bayi kan bisanya emang baru nangis doang lu kata bisa bangun ikn
615,minta lah ama yang pada korupsi t bisa dapat ikn lengkap ma tikus nya
616,hujan kopi vape sambil berak jangankan ide untuk buat konten ide untuk bangun ikn juga bisa muncul
617,pengakuan aguan soal ikn muslim arbi bukti jokowi bohong besar ketika sandera mulai memberontak maka fakta segera terungkap
618,jadi gimana masa depan ikn
619,investasi ikn apakabar
620,stop dulu cancel dulu ikn tersebut ikn belum dibutuhkan sukseskan dulu yang urgen makan bergizi gratis untuk siswa seluruh indonesia yang sudah dikoarkoarkan tersebut
621,anak abah tiap hari berdoa ikn mangkrak yg mangkrak malah cita anies jadi presiden dan cagub jakarta
622,prabowo akan berkantor di ikn agustus ibu kota negara nasibmu gini
623,aguan bocorkan kebohongan jokowi tak ada yang tertarik investasi di ikn
624,taipan naga ini jujur investor ikn hanya pepesan kosong mulyono jokowigibranperusaknkri
625,mobil yang palsu itu esemka dan ikn hahahahaha
626,bkn tinggal di ikn tp emang di kalimantan tuh sekalinya debu gila bgt apalagi klo ada proyek kmrn pas pulang jg gila bgt anjem adik sklh klo gk pake masker tu debu nempel semuka dan jaket pun dipegang kerasa debu nya nempel di tangan
627,yg pertama kali ngantor di ikn
628,aguan bocorkan kebohongan jokowi tak ada yang tertarik investasi di ikn
629,ak dh minta bala bantuan org kalau masih blm dpt ak rumbling ikn
630,ikn untuk indonesia sejahtera
631,prabowo berkantor di ikn mulai agustus
632,ketua dpr puan maharani nyatakan siap pindah ke ikn ikuti keputusan pemerintah
633,kompastv investasi tipu untuk menyelamatkan mulyonobukti kalau ikn itu cuma omong kosong
634,swasta emang di ikn gak ada bumn ya
635,temenku magang di ikn walopun susah tapi ini peluang bagus untuk masukin cv biar di lirik pas lamar kerja
636,rocky gerung pengakuan aguan bukti ikn omong kosong besar
637,menohok khianati megawati hingga masalah ikn rocky gerung bongkar aib jokowi bengisan siapa dengan pak harto
638,sejauh ini blm ada media play lagi soal ikn wkwkwkwk biasanya buzzer nya pada keluar goa kalau ada yg bahas jeleknya ikn
639,brebes itu di pulau jawa bagaimana dg pulau pulau yg jauh dr pemerintah pusat kemana aja th berkuasa drpd bikin ikn whoosh mending utk hal hal demikian
640,orang yg kontra ikn aja dibilang gak pro pemerataan ekonomi
641,investasi ikn pepesan kosong kpk harus periksa jokowi
642,pepesan kosong akhirnya salah satu dari naga buka suara perihal investasi dan investor di ikn shopeepay buna nct perempuan sanadin better call saul timnasday
643,dukung ikn nusantara
644,dukung ikn nusantara
645,gue pernah bahas sebelumnya kalo ikn itu high risk project apalagi ini project rezim makanya investor asing pada males invest disana big ga ada yg berani assist clientajak untuk investasi prone to corruption banget yg bisa mulyono lakukan ya maksa investor lokal
646,negara msh bisa bernafas krn mengandalkan utang tapi msh mikirin hal yg ga berguna mau kayak kata aguan menyelamatkan wajah jkw basuki hadimuljono minta tambahan anggaran rp triliun untuk pembangunan ikn pada
647,lu olang jg pelnah membela omong kosong
648,millard pov baru sampe di ikn
649,sejak dulu indonesia timur kepulauanya sangat bergantung pada transportasi laut yang dibangun pemerintah jalan toll kereta cepat bandara ikn semua berbasis daratan
650,kata aguan keterlibatannya dalam proyek strategis nasional ikn itu hanya untuk menjaga wajah joko widodo jokowi
651,itupun gagal ikn mankrak aguan gigit jari awowkokwok
652,kalo mau beli ikn bonus psn
653,bos agung sedayu group sugianto kusuma alias aguan bercerita soal ibu kota nusantara proyek strategis nasional dan oligarki soal investasi ikn aguan kami mesti menjaga wajah presiden
654,pernah dengar negara jiran sponsori demo dalam negeri tolak kasino dibangun di indonesia krn mau genting hi land dan skrg byk turis ri pergi ke genting kritis pd ikn boleh aja tp jgn mjd agen asing
655,stadion garuda nusantara bertaraf internasional di bangun di ikndan akan menggerakkan ekonomi di sekitar ikndan akan meningkatkan prestasi sepakbola indonesiadan indonesia akan menjadi tuan rumah olimpiade
656,dukung ikn nusantara
657,wkwk untung gak jd ambil walau sempat berharap bisa ngerjain di ikn temenku cerita kalo banyak temennya disana banyak yg gak betah
658,udah baca ini belum aguan bilang ke tempo kalau dia dan investor babak belur ngerjain ikn
659,oligarki mengendalikan negara ini okt oligarki merumuskan di ikn apa yang harus dilakukan oleh prabowo okt jokowi undang prabowo ke solo okt prabowo undang camen aneh hasil cawe jokowi oligarki msaiddidu jokowidodopenipu jokowidodopenipu
660,kasihan buzzerrp udah berbusabusa puja puji kereta otonom tahunya gak fungsi lebih kasihan lagi rakyat indonesia yang uangnya dihamburhamburkan kereta otonom tanpa rel di ikn bakal dikembalikan ke china jokowidodopenipu jokowidodopenipu
661,desember prabowo hentikan anggaran ikn rocky gerung bukti beban apbn kian berat jokowidodopenipu jokowidodopenipu
662,menurut pak basuki biaya ikn sdh hampir trilyun masak iya gak ada penyimpangan sama sekali proyek milyaran aja banyak masalah kemana bpkri dan bpkpgoid harusnya kejaksaanri lbh progresif antikorupsi tdk bisa menjangkau ikn ya
663,jadi ikn ma sunter sama yh
664,intinya aguan secara blakan beberin dusta jokowi soal ikn pertanyaan yg belum dijawab kenapa baru sekarang aguan berani bongkar borok dusta jokowi wawancara aguan ini jadi bukti sahih termutakhir bahwa mulyono adalah pembohong terbesar sepanjang sejarah nkri
665,setelah mendengar nyanyian aguan kemungkinan besar ikn akan jadi the next hambalang
666,nih dengerin lot bolot anti ikn
667,kayak gedung ikn dong
668,babeiyh itu bangun ikn apa jalan raya daendels kok bisa gak ada liburnya
669,ikn disamain pogram bermasalah rumah dp abahmu ini tuh lagi di tangkepi satusatu koruptornya rumah dp wkwkw
670,jadinya ikn ini kepentingan rakyat apa pengembang mul mulyono woiii
671,tak ada yg tertarik investasi di ikn tapi tetap mau invest demi menyelamatkan muka presiden jokowi apakah aguan teramat baik hati tentu tidak
