,after_detokenized
94,presiden jokowi kunjungi banyuwangi jawa timur jatim seorang warga salah sebut nama ibu kota negara ikn nusantara menjadi ipuk momen tersebut terjadi saat presiden jokowi melempar pertanyaan kepada salah satu warga penerima program sertifikat tanah obyek reforma agraria
95,camping di ikn dah selesai tapi antri migor masih berlanjut mas jokowi jadi presiden lagi gih urus tu minyak goreng jangan serahkan hanya kepada mentri asal nyeplak wong ndak bisa kerja
96,hasil ngobrol dg anggota dpr dari partai gerindra beliau memberi izin hasil obrolan aku tulis di twitter prabowo setelah dilantik tak akan manut oleh siapapun meski itu jokowi beliau teguh dg pendirian amp garis partai tentang ikn ente simpulkan sendiri jawabnya
97,mengawali hari di kantor ikn dengan energi pola pikir dan semangat baru langkah awal yang memberikan harapan dan peluang baru untuk masa depan indonesia yang jauh lebih baik
98,siang ini saya menerima kedatangan anggota dewan penasihat ibu kota nusantara tony blair di istana merdeka kami berdiskusi tentang perencanaan pemindahan ibu kota baru dan saya meminta mantan perdana menteri inggris itu membantu mempromosikan ikn ke dunia internasional
99,ganjar tuntaskan ikn ini sudah menjadi undangundang kita akan melakukan percepatan dalam pembangunan ikn jika nanti terpilih menjadi presiden ganjarpranowo hanya pak ganjar yang akan lebih gaspol melanjutkan programprogram jangka panjang pak jokowi ingat ya
100,berarti tapera untuk biayai program makan siang gratis dan proyek ikn
101,indonesia siap menjadi tuan rumah penyelenggaraan pesta olahraga terakbar di dunia olimpiade pada tahun mendatang indonesia menyiapkan ibu kota nusantara ikn sebagai tempatnya
102,ikn ibu kota negara baru lahir dari keinginan pribadi tanpa study mendalam ditujukan utk kenikmatan oligarki bkn utk kemaslahatan orang banyak dibangun dari dana utang atau dana pihal ketiga didukung para penjilat kekuasaan bkn utk kepentingan rakyat
103,menolak ikn tapi mau bangun kota selevel jakarta
104,btw hari di london gue udah diledekin soal ikn kali oleh orang berbeda i heard its not working i heard its badly planned
105,qalbubahasa demokrasiruwet masveel ngaku ngaku punya developer punya temen ga terbatas dana nya untuk inves di ikn buzzer ya buzzer aja iya kan
106,jelang lengser jokowi rapat di ikn meminta kementerian esdm dan kementerian lain bumn untuk mengkampanyekan keberhasilan jokowi selama tahun dia gelontorkan m untuk kampanye terimakasihjokowi tempo bocor alus parcoksemakinberingas parcoksemakinberingas
107,berita selengkapnya cek ig stories kompascom mimpi kristianie lumatalale bergabung dengan tim paskibraka nasional pupus di tengah jalan harapannya ikut menjalankan tugas negara sebagai anggota paskibraka nasional pada hut ke ri tahun di ibu kota nusantara ikn
108,seluruh gubernur atau yang mewakili dari provinsi hadir di titik nol ikn nusantara siang ini dengan membawa tanah dan air dari daerah masingmasing acara ini menjadi tonggak sejarah bagi bangsa indonesia mewujudkan citacita besar yakni pembangunan ibu kota nusantara
109,menanam pohon beringin ficus benjamina di kawasan istana presiden ibu kota nusantara pagi ini yang ditanam ini adalah beringin kembar pohon yang jadi simbol keagungan saya berharap tanamantanaman lain di kawasan ikn segera ditanam begitu hujan mulai turun ada banyak
110,ini kayaknya suting di ikn
111,sumbangan saya biaya ikn nusantara pajak
112,selamat pagi inilah logo ibu kota nusantara yang diluncurkan kemarin logo yang akan menjadi identitas visual bagi ikn temanya pohon hayat pohon kehidupan logo ikn karya aulia akbar ini terpilih melalui voting terbuka yang diikuti lebih pemilih di seluruh tanah air
113,wuuiiihhh gubernur mendoakan orang yg tdk setuju ikn jadi pendek umur mari kita doakan beliau agar panjang umur sehingga bisa menyaksikan kegagalan ikn
114,dokter jantung here pak yayat bilang saudara kita yg di timur kalau sakit jantung terbang ke ikn hanya jam dibanding ke jakarta bisa smp jam punten nih pak dlm kasus serangan jantung berat jam itu kelamaan bangeeett bila perlu dpt obat khusus yg namanya
115,apbn kurang terus rocky gerung usulkan pembiayaan ikn melalui judi online
116,dpr ogahan pindah ikn mau tetap di jakarta prabowo ogahan pindah ikn mau tetap di jakarta jokowi juga ogahan pindah ikn malah pilih mulih solo lha terus ikn iki dinggo sopoooo
117,berapa miliar jokowi bayar influencer dan artis ke ikn yang jelas ga mungkin mereka jalanjalan gratis kesana pastinya pakai biaya mahal apalagi mereka harus menginap juga di ikn artis macam raffi ahmad nagita atta halilintar irwansyah gading martin adalah artis dengan
118,lebih baik stop proyek unfaedah macam ikn pak prabowo daripada musti bebani rakyat kecil takutnya malah terjadi reformasi jilid bahkan takutnya bisa sampai revolusi akibat rakyat sudah muak liat kelakuan para elit yg tak peduli dgn rakyat kecil middle class mulai bersuara
119,mau tanya aja nih min kemensetnegri yang bayar mereka ini dana apbn atw dana pribadi joko widodo atw dana mereka yang ikutdiajak klo mereka diajakikut ke ikn dibiayai dana dari rakyat baca apbn gw sumpahin selama di ikn mencret terus ya
120,cuma mau mengingatkan kang ridwankamil ini sudah hampir bulan loh apakah ikn sudah seperti jakarta
121,part gimana menurut kalian guys tertarik cari kerja di ikn
122,gibran nyuruh pak mahfud googling investor asing ikn malah nemu pernyataan bapaknya gibran bahwa blm ada investor asing di ikn debatcawapres
123,hari ini saya menerima para ketua umum organisasi mahasiswa kelompok cipayung plus yakni dari hmi gmki pmii pmkri kmhdi imm hikmahbudhi lmnd pii hima persis kammi dan gmni kami berdiskusi tentang program rumah kebangsaan ikn hingga soal harga bahan pokok
124,diberikan penjelasan ttg kondisi titik nol ikn klean ngamuk diberikan uraian sejarah mandalika klean juga ngamuk makian dan amukan klean hanya menyerang pribadi dan bukan membahas substansi yg saya buat makian dan amukan klean menaikkan semangat saya utk membuka yg lain
125,visit ikn jungkook few tweets au babyandruby
126,penyembah jokowi bilang guwe dukun garagara bilang kayanya ikn bakalan mangkrak laahhh guwe bukan dukun tapi gua banyak baca jadi tau clueclue yang mengindikasikan kalau ikn itu bakalan mangkrak salah satu cluenya yang paling jelas ya keputusan rezim baru mr
127,mengapa kita membangun ibu kota nusantara ikn kita ingin menciptakan pemerataan ekonomi pemerataan penduduk dan menumbuhkan titiktitik pertumbuhan ekonomi baru sebanyak persen produk domestik bruto pdb ekonomi indonesia terdapat di pulau jawa dengan pembangunan ikn
128,perkiraan saya proyek ikn akan mangkrak spt proyek lainnya yg tdk diawali dg study kelayakan silakan publik mencatat mention saya ini saya mention bhw mbl esemka adlh bohong saya mention bhw ka cepat tdk laik dan tdk layak serta jalan tol akan rugi
129,bersikap seakan tdk ada pilihan lain krn sdh ada dalam uu rezim dinilai bohongi publik krn dlm pasal ayat diatur bahwa tarif ppn dpt diubah plg rendah dan plg tinggi sri mulyono yg diam ketika ikn dibangun tapi brutal soal pajak ini bisa diganti gak sih
130,temuan tempo korporasi taipan panen kayu di kawasan inti ikn
131,anies baswedan soal dana bangun ikn kenapa nggak untuk bayar tenaga honorer guru itu lebih urgent
132,ikn adalah sebuah gagasan anies menyerang gagasan itu lalu jawabnya enggak usah ditanggapi gimana katanya mau jadikan ajang pemilu kali ini jadi adu gagasan lol
133,dikabarkan universitas standford yg terkenal itu akan membangun kampus di ibukota baru ikn kepala otorita yg mempersiapkan ikn bambang susantono bilang mei ini standford akan mulai membangunnya bahkan dikatakan akan ada universitas lain yg menyusul dari
134,gerakan pembawa baki bendera hut ri di ikn disebut abalabal warganet malu nontonnya
135,aku ke ikn
136,oooh sampai saat ini belum ada ya cari terus mas bahlil setelah agustus itu perlu jelas deadlinenya bisa bulan lagi bisa tahun lagi bahkan bisa entah sampai kapan
137,prabowo tidak mau pindah ibu kota dari jakarta ke ikn
138,sugondese ikn gak diterusin
139,duduk melingkar di sekitar titik nol ibu kota nusantara siang tadi saya mendengarkan para tokoh adat dan agama setempat para tokoh adat berharap agar pembangunan ikn tidak hanya mengenai infrastruktur tetapi juga pengembangan sumber daya manusia kalimantan
140,jokowi minta china bantu desain ikn inilah bukti yg nyata bahwa wilayah tersebut memang sdh diserahkan pada tiongkok mereka lah yg menentukan detail design nya supaya sesuai dgn keinginannya paling tidak untuk tahun ke depan
141,semoga rakyat tdk lupa saat china diminta membuat rencana kereta api cepat jakarta bandung yg akhirnya menjadi beban seluruh rakyat skrg ikn diberikan ke china
142,setiap mantan presiden dapat pesangon rumah gus dur mega sby dapat jatah di pusat jakarta bagaimana dengan jokowi yang terus mendorong orang agar beli tanah dan tinggal di ikn ia minta jatah tanah m dan rumah di desa gajahan kabupaten karanganyar jawa
143,pajak ppn dipakai negara untuk proyek ambisius ikn nyelametin wajah mulyono buat pencitraan wakil presiden gibran bagibagi susu amp bansos wapres gibran buat mempersenjatai orangorang yang hobinya nembakin rakyat kayak polri buat gaji raffi ahmad budi arie
144,calon presiden capres nomor urut anies baswedan dengan tegas menyatakan jika dirinya terpilih sebagai presiden maka pembangunan ikn akan dikaji ulang hal ini bermula saat anies diminta memilih ibu kota lebih baik di jakarta atau di ikn yang berlokasi di kabupaten
145,breakingnews kepala otorita ikn bambang susantono mengundurkan diri dari jabatan dua bulan menjelang rencana jokowi menggelar upacara peringatan hut ri ke di ikn wakil oikn donny rahajoe juga turut mengundurkan diri cnnindonesia
146,ayo para artis tinggal di ikn duluan bikin aktivitas kesenian di sana bikin film sinetron pertunjukan dan lainnya sbg influencer yg baik mesti kasi contoh baik pula tinggal dan menetap di sana sampai thn siapa tau banyak investor berdatangan
147,duit negara lagi seret karena abis buat ikn yg belum digunakan itu sementara akan ada pengeluaran besar rutin namanya program makan gratis bukannya berhemat malah nambah jumlah kementerianpejabat yg semuanya butuh duit terus pajak naik ya masa rakyat nggak ngamuk
148,fadli zon sampai sekarang ogah ke ikn
149,hasil tipuanmu tol bangkrutkan bumn ka cepat kena jebakan china bandaraplbhn tdk layak dan mangkrak food estate impor beras lempar bantuan ke rakyat utang meroket isu radikalradikul kkn meningkat investasi jual sda ikn jual negara
150,negara diperkirakan harus keluarkan rp m untuk relawan jokowi ke ikn
151,ada yang bilang kalau ganjar jadi presiden maka dia akan batalkan ikn yang dibangun jokowi hei keset welcome ganjar itu taat uu ga mungkin dia batalkan ikn yang sudah dilindungi uu dan di ikn hari ini ganjar pranowo memastikan dia akan berkantor disana jika jadi presiden
152,upaya menarik investasi ikn pertama rayu softbank gagal setelah uu ikn disahkan softbank malah mundur kedua mau tarik uang saudi kandas ketiga tony blair menghilang upaya terakhir diskon fasilitas besarbesaran inipun sepi peminat akhirnya pakai apbn dan duit lpi
153,alasan menunda pemilu permintaan banyak pihak apakah sdh bertanya ke slrh rakyat beban negara lagi berat kenapa msh bangun ikn kereta api cepat dll ekonomi lagi berat yg bikin berat dan utang meroket siapa msh pandemipilkada pandemi klean waras
154,kawasan ibu kota nusantara akan memiliki pusat latihan untuk mendukung persepakbolaan indonesia di ikn akan dibangun setidaknya delapan lapangan sepak bola dan diharapkan selesai dalam satu tahun pembangunan lapangan sepak bola di ikn akan dibiayai fifa
155,sejak rezim ini bangsa indonesia langsung dianggap bodoh mulai dari pekerjaan tambang sampai pekerjaan sipil di ikn bangsa ini dianggap tdk mampu pdhl an kita sdh buat pabrik pupuk kilang minyak pesawat terbang apalagi hanya pekerjaan sipil
156,jika seperti ini berarti aguan diminta jokowi investasi di ikn dng imbalan tanah di kronjo teluk naga dan sekitarnya yg dijadikan area psn pik ini sama saja pemilik tanah yg digusur pik yg modalin ikn kalau mereka sadar jokowi bisa didatangi para pemilik tanah ini
157,ikn di kaltim berpotensi banjir pertengahan maret brin jangan kaget ikn mulai terendam
158,pohon di monas ditebang tetiba buzzer bangke amp ebong jumpalitan sokan peduli lingkungan giliran bikin ikn hutan dibabat pulau komodo jd tmpat wisata hutan kalimantan jd kubangan ebong pd mingkem kyak silit pitek
159,baru ratusan milyar sok teriak itu ikn dan kereta cepat nga jelas ngabisin anggaran ratusan triliun ente diam aja
160,bahlil rahasiakan daftar investasi di ikn ekonom harus transparan karena sudah libatkan apbn tempobisnis
161,mau milih prabowo dapetnya psi jokowi anaknya jokowi iparnya jokowi mantunya jokowi anak jokowi yang ketua psi baliho psi muchdi pr ade armando titiek soeharto golkar wadas omnibus cilaka firli rempang bahlil bukit algoritma budiman pindah ke ikn ite jilid
162,seneng bgt hri ini bisa habisin waktu brg sm filah walaupun besok dia harus balik lg ke ikn smpe waktu yg tak bisa ditentukan
163,jika apbn tidak mampu kemudian investor tidak tertarik dengan pembiayaan ikn maka proyek ini akan mangkrak dan menjadi museum pembangunan terbengkalai paling besar di indonesia ungkap peneliti indef nailul huda analisis cnnindonesia
164,istana garuda ikn dikritik nyoman nuarta kalau baru bisa bikin ruko gak usah omong tempobisnis
165,lukisan kelima tentang ambisi mulyono membangun ikn dengan cepatcepat serta ambisi kekuasaan yang berlebihan sumber amp video lengkap
166,joe biden menyoroti kepindahan ikn terdapat potensi banjir dan korupsi miliaran dolar
167,simpel banget mikirnya karena tidak ada uang bpjs kesehatan akan segera dihapus padahal itu nyawa orang beda dgn ikn ngotot banget ya
168,mungkinkah dana csr digunakan untuk pembangunan ikn
169,waketum mui marsudi menuturkan proses hijrah nabi muhammad saw dari makkah ke madinah tidak jauh beda dengan pemindahan ikn dari jakarta ke kalimantan timur disss ga ada tuh critanya rasululloh hijrah pake tanah amp air rupa ngawur ente
170,rakyat tdk perlu ikn rakyat perlu pangan dan bbm terjangkau batalkankenaikanbbm
171,hari ini di istana negara saya melantik bambang susantono dan dhony rahajoe sebagai kepala dan wakil kepala otorita ibu kota nusantara keduanya akan bekerja untuk bersamasama membangun ikn sebagai ibu kota yang merefleksikan kota indonesia masa depan selamat bekerja
172,tuduhan kalian memang lucu bhw saya membela rakyat banten yg digusur krn psn pik adlh utk kepentingan pribadi pdhl hal yg sama sy lakukan di psn rempang ikn dan surabaya apakah kalian sdh dapat proyek dari oligarki utk cari tanah saya di psn lain tersebut
173,ikn akan terus dibangun tapi tidak bakalan jadi ibu kota negara
174,dipaksa robohkan rumah karena langgar rtrw ikn warga kampung tua sabut kaltim tak pernah dapat sosialisasi tempometro
175,biaya ikn triliun biaya pltn triliun biaya plts cirata triliun biaya satu pltn bisa bangun plts seperti cirata di seluruh indonesia pltn mahal bahaya lama
176,tebakan gw ni nanti ikn dibatalin sama prabowo trus berantem mereka kita dijanjikan hiburan nasional dijamin pasti seru rame penuh drama dan berbiaya tinggi nanti kita juga yang bayarin makanya dinikmati saja dari sekarang
177,saya dapat info bhw scr bersama pimpinan otorita ibu kota negara ikn mengundurkan diri krn takut masuk penjara shg pekerjaan ikn skrg diambil alih oleh kemepupr terlihat dari yg sering muncul menjelaskan ttg ikn adlh menteri pupr bukan pimpunan ikn apakah info tsb benar
178,peserta karya lima finalis begitu besar antusiasme desainer untuk ikut dalam sayembara desain ibu kota negara ikn terpilih sebagai juara i adalah desain bertema nagara rimba nusa oleh urban disusul the infinite city dan kota seribu galur selamat
179,kalo tiba disuru site visit bakal lucu sih who would expect ke ikn tt
