conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.82946065880054E+018,Fri Aug 30 20:02:25 +0000 2024,0,@gghhjjkk580dr0 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @MurtadhaOne1 @AdamVelcro @Anak__Ogi Jokowi banyak alasan soal IKN padahal yang dibutuhkan rakyat itu kerjaan!,1.82961064909957E+018,,gghhjjkk580dr0,in, bandung,0,1,0,https://x.com/azharie27/status/1829610649099579578,1977953707,azharie27
1.82946037063925E+018,Fri Aug 30 20:02:19 +0000 2024,0,@1HandeDelisii @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @golkar_id @psi_id @BosPurwa @chakemates @BayuAngora IKN nggak akan jadi apa-apa Cuma proyek buat ngabisin duit negara.,1.82961062097264E+018,,1HandeDelisii,in, bandung,0,1,0,https://x.com/azharie27/status/1829610620972646679,1977953707,azharie27
1.82945964994453E+018,Fri Aug 30 20:02:08 +0000 2024,0,@ggggggfrf3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @golkar_id @psi_id @BangPino__ @yaniarsim @msaid_didu Ngapain buang uang buat IKN padahal rakyat butuh hidup layak!,1.82961057605158E+018,,ggggggfrf3,in, bandung,0,1,0,https://x.com/azharie27/status/1829610576051585190,1977953707,azharie27
1.82945921204662E+018,Fri Aug 30 20:02:00 +0000 2024,0,@gghhjjkk580dr0 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @golkar_id @psi_id @mantan_ordal @okkymadasari @vngnc IKN lagi IKN lagi... bosan banget. Rakyat butuh solusi nyata!,1.82961054359193E+018,,gghhjjkk580dr0,in, bandung,0,1,0,https://x.com/azharie27/status/1829610543591931945,1977953707,azharie27
1.82945890164719E+018,Fri Aug 30 20:01:50 +0000 2024,0,@1HandeDelisii @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @golkar_id @psi_id @wahidfoundation @patjarmerah_id @Mdy_Asmara1701 Udah lah nggak usah buang waktu dengan IKN mending fokus ke rakyat yang butuh kerja.,1.82961050199282E+018,,1HandeDelisii,in, bandung,0,1,0,https://x.com/azharie27/status/1829610501992825116,1977953707,azharie27
1.82945859219557E+018,Fri Aug 30 20:01:44 +0000 2024,0,@ggggggfrf3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @tijabar @KakekHalal Jokowi tunda pindah ke IKN? Ya jelas proyek setengah hati gitu.,1.82961047381548E+018,,ggggggfrf3,in, bandung,0,1,0,https://x.com/azharie27/status/1829610473815486734,1977953707,azharie27
1.82945832563497E+018,Fri Aug 30 20:01:36 +0000 2024,0,@gghhjjkk580dr0 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @marlina_idha @mardiasih @delasyahmareads Rosan cari investor tapi apa iya IKN bakal beneran jadi? Ragu deh.,1.82961044168712E+018,,gghhjjkk580dr0,in, bandung,0,1,0,https://x.com/azharie27/status/1829610441687122406,1977953707,azharie27
1.82682538624598E+018,Fri Aug 30 19:59:02 +0000 2024,0,@HajrinMantu @GirlBieberJ @cnbcindonesia @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @msaid_didu @Ndons_Back @OposisiCerdas IKN ini bakal jadi pusat pertumbuhan baru. Pajak yang kita bayar manfaatnya balik ke kita juga.,1.82960979462349E+018,,HajrinMantu,in,,0,0,0,https://x.com/tyosieekho89/status/1829609794623492295,3146736950,tyosieekho89
1.82946561204279E+018,Fri Aug 30 19:58:35 +0000 2024,0,@HajrinMantu @gorunbiraz3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @golkar_id @psi_id @KangayamLombok @alisyarief @Alie_Fahnoor IKN bakal jadi motor penggerak ekonomi baru. Ini langkah strategis buat Indonesia ke depan.,1.82960968145693E+018,,HajrinMantu,in,,0,0,0,https://x.com/tyosieekho89/status/1829609681456935160,3146736950,tyosieekho89
1.82946130631691E+018,Fri Aug 30 19:57:37 +0000 2024,0,@HajrinMantu @GirlBieberJ @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @ronavioleta @Heraloebss @BANGSAygSUJUD IKN ini buat memperbaiki distribusi pembangunan di Indonesia. Jangan lihat jangka pendek aja!,1.82960943902616E+018,,HajrinMantu,in,,0,0,0,https://x.com/tyosieekho89/status/1829609439026167829,3146736950,tyosieekho89
